id,emoji,useMP,lifeTime,maxSpeed,damage,InfoText
FIREBALL,🔥,10,1000,0.5,10,前方に放つ火球が命中時に小さな爆発を起こす基本攻撃魔法
ICE,❄️,8,1200,0.6,8,氷の矢を飛ばし命中した敵の移動速度を短時間低下させる
LIGHTNING,⚡,15,800,0.8,15,直線状に稲妻を走らせ即時高ダメージを与える貫通魔法
TORNADO,🌪️,12,1500,0.4,9,渦巻く突風で敵を引き寄せながら持続ダメージを与える
METEOR,☄️,25,600,0.9,22,頭上から隕石を呼び出し着弾点で大爆発を起こす
EXPLOSION,💥,18,500,0.0,20,その場で瞬間的に大爆発を起こす広範囲魔法（自分は無傷）
GUST,💨,6,400,1.0,5,高速突風で一直線に射程を薙ぎ払う
BUBBLE,🫧,7,1800,0.3,6,泡で敵を包み短時間行動不能にする（ダメージ小）
RAINBOW,🌈,20,1200,0.5,0,七色の光が味方を回復・バフし敵には微弱ダメージ
WEB,🕸️,9,2000,0.2,4,粘着性の糸を張り巡らせ敵の移動速度を大幅低下
POISONSTING,🦂,14,1000,0.7,12,毒針を撃ち込み時間経過で追加ダメージを与える
