id,detectionRadius,attackRange,attacknearRange,attackCooldown,coinDropCount,extraDropItem
INVADER,500,250,212.5,2000,3,MASHROOM
ONI,360,180,150,2000,3,MASHROOM
SPECTER,400,200,170,2000,3,MASHROOM
DRAGON,540,270,229.5,2000,3,MASHROOM
ZOMBIE,360,180,150,2000,3,MASHROOM
TENGU,360,180,150,2000,3,MASHROOM
BAT,700,350,297.5,2000,2,MASHROOM
WOLF,360,180,150,2000,3,MASHROOM
MECHA,360,180,150,2000,4,MASHROOM
JACK,500,250,212.5,2000,2,MASHROOM
phoenix,500,250,212.5,2000,3,MASHROOM
Crocodile,360,180,150,2000,4,MASHROOM
Mammoth,360,180,150,2000,3,MASHROOM
Bear,360,180,150,2000,3,MASHROOM
PolarBear,360,180,150,2000,3,MASHROOM
Tiger,360,180,150,2000,3,MASHROOM
Moose,360,180,150,2000,3,MASHROOM
Buffalo,360,180,150,2000,3,MASHROOM
Otter,360,180,150,2000,3,MASHROOM
BlackBird,360,180,150,2000,3,MASHROOM
Turtle,360,180,150,2000,3,MASHROOM
Snake,360,180,150,2000,3,MASHROOM
Sauropod,360,180,150,2000,3,MASHROOM
T-Rex,360,180,150,2000,3,MASHROOM
Rat,360,180,150,2000,3,MASHROOM
Boar,360,180,150,2000,3,MASHROOM
SLIME,540,270,229.5,2000,3,MASHROOM
