id,emoji,MaxSpeed,hp,mp,mpregene,deffence,attackMagic,attack,attackPierceCount,HomingRadius,HomingPower,AddLifeTime,FireCnt1,FireCnt2,UseMP,AddMaxSpeed,coinDropCount,RegistFIREBALL,RegistICE,RegistLIGHTNING,RegistLIGHTNING.1,RegistMETEOR,RegistEXPLOSION,RegistGUST,RegistBUBBLE,RegistRAINBOW,RegistWEB,RegistPOISONSTING,RegistSWORDSLASH,RegistGREATAxe,RegistHAMMERCRUSH,RegistTRIDENTTHRUST,RegistSHIELDBASH
INVADER,👾,1.5,100.0,30.0,0.05,0.0,FIREBALL,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.8,1.0,1.1,1.1,1.0,1.5,1.2,1.0,1.0,1.0,1.2,1.2,0.9,1.0
ONI,👹,1.5,150.0,30.0,0.05,0.0,GREATAxe,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.7,1.8,1.0,1.0,1.3,1.1,0.9,0.8,1.5,1.0,1.0,0.8,1.1,1.5,1.0,0.8
SPECTER,👻,3.0,80.0,30.0,0.05,0.0,GUST,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.9,1.0,1.7,1.2,0.9,0.8,1.3,1.0,2.0,0.6,0.5,0.5,0.6,0.7,0.4,0.5
DRAGON,🐉,1.2,200.0,30.0,0.05,0.0,METEOR,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.5,2.0,1.1,1.4,1.7,1.5,0.9,0.9,1.1,0.8,0.8,0.7,0.8,1.2,0.9,0.7
ZOMBIE,🧟,1.0,120.0,30.0,0.05,0.0,SWORDSLASH,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,0.9,1.0,0.9,1.2,1.3,1.0,0.9,1.4,1.1,0.3,1.2,1.3,1.5,0.9,1.0
TENGU,👺,2.2,130.0,30.0,0.05,0.0,TRIDENTTHRUST,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,1.5,1.1,1.2,1.0,0.7,0.9,1.3,1.2,0.9,1.3,1.1,0.9,0.8,1.0
BAT,🦇,3.5,60.0,30.0,0.05,0.0,POISONSTING,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.9,1.5,1.8,1.6,1.0,1.2,1.6,1.0,1.2,0.5,1.0,1.4,1.2,1.3,1.2,0.6
WOLF,🐺,2.8,110.0,30.0,0.05,0.0,HAMMERCRUSH,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.6,0.8,1.2,1.1,1.3,1.2,1.0,1.0,1.1,1.0,1.3,1.0,1.2,1.3,1.1,1.0
MECHA,🤖,1.3,180.0,30.0,0.05,0.0,EXPLOSION,9.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.1,1.3,2.0,1.0,1.8,2.0,0.9,1.4,1.0,0.9,0.1,0.7,1.4,1.6,0.6,0.5
JACK,🎃,1.7,90.0,30.0,0.05,0.0,FIREBALL,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.8,0.9,1.1,1.2,1.3,1.4,1.0,1.0,1.2,1.0,0.8,1.5,1.6,1.2,1.2,0.8
phoenix,🐦‍🔥,1.5,200.0,30.0,0.05,0.0,FIREBALL,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.8,1.0,1.1,1.1,1.0,1.5,1.2,1.0,1.0,1.0,1.2,1.2,0.9,1.0
Crocodile,🐊,1.3,130.0,30.0,0.05,0.0,EXPLOSION,9.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.1,1.3,2.0,1.0,1.8,2.0,0.9,1.4,1.0,0.9,0.1,0.7,1.4,1.6,0.6,0.5
Mammoth,🦣,1.5,125.0,30.0,0.05,0.0,DEFAULTENEMYATTACK,5.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,1.15,1.05,1.25,1.2,1.0,1.0,1.2,1.0,0.8500000000000001,1.0,1.2,1.25,0.9,0.8
Bear,🐻,1.5,125.0,30.0,0.05,0.0,DEFAULTENEMYATTACK,5.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,1.15,1.05,1.25,1.2,1.0,1.0,1.2,1.0,0.8500000000000001,1.0,1.2,1.25,0.9,0.8
PolarBear,🐻‍❄️,1.5,125.0,30.0,0.05,0.0,DEFAULTENEMYATTACK,5.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,1.15,1.05,1.25,1.2,1.0,1.0,1.2,1.0,0.8500000000000001,1.0,1.2,1.25,0.9,0.8
