id,emoji,type,value,shopcost,drop,shop,filtertype,infotext
COIN,🪙,coin,3,0,0.2,0,drop,コインを3枚獲得する
MASHROOM,🍄,item,30,0,0.2,0,drop,HPを30回復する
BREAD,🍞,item,30,0,0.2,0,drop,HPを30回復する
CHICKEN,🍗,item,30,0,0.2,0,drop,HPを30回復する
APPLE,🍎,item,30,0,0.2,0,drop,HPを30回復する
CHEESE,🧀,item,30,0,0.2,0,drop,HPを30回復する
MILK,🥛,item,30,0,0.2,0,drop,HPを30回復する
STEW,🥘,item,30,0,0.2,0,drop,HPを30回復する
AMULET,🧿,item,1,0,0.2,0,drop,アイテム
CRYSTAL,🔮,item,1,0,0.2,0,drop,アイテム
STAR,🌟,item,1,0,0.2,0,drop,アイテム
CANDLE,🕯️,item,1,0,0.2,0,drop,アイテム
GEM,💎,item,1,0,0.2,0,drop,アイテム
BEADS,📿,item,1,0,0.2,0,drop,アイテム
AMPHORA,🏺,item,1,0,0.2,0,drop,アイテム
KEY,🗝️,item,1,0,0.2,0,drop,アイテム
BUCKET,🪣,item,1,0,0.2,0,drop,アイテム
THREAD,🧵,item,1,0,0.2,0,drop,アイテム
FEATHER,🪶,item,1,0,0.2,0,drop,アイテム
SCROLL,📜,item,1,0,0.2,0,drop,アイテム
INKPEN,🖋️,item,1,0,0.2,0,drop,アイテム
RING,💍,item,1,0,0.2,0,drop,アイテム
WATCH,⌚,item,1,0,0.2,0,drop,アイテム
SKULL,💀,item,1,0,0.2,0,drop,アイテム
WATERDROP,💧,item,1,0,0.2,0,drop,アイテム
VolcanoBird,🐦,item,1,0,0,0,drop,アイテム
Sled,🛷,item,1,0,0,0,drop,アイテム
Camel,🐫,item,1,0,0,0,drop,アイテム
Eagle,🦅,item,1,0,0,0,drop,アイテム
Owl,🦉,item,1,0,0,0,drop,アイテム
SHIP,⛵,item,1,0,0,0,drop,アイテム
maxHP,❤️,maxHP,20,25,0.01,1,status,最大HPが20増加する
maxMP,💠,maxMP,20,25,0.01,1,status,最大MPが20増加する
mpregene,🍷,mpregene,0.1,15,0.01,1,status,MP自動回復量が0.1増加する
