id,titleEmoji,text,mode
Event_07,🧿,"{""entryPage"":""offer"",""commands"":[{""operation"":""page"",""pageId"":""offer"",""text"":""🧿を1個持ってきてくれたら🔮1個と取り替えよう。\nもっと強力な占い道具が欲しくてね.""},{""operation"":""page"",""pageId"":""ask"",""text"":""どうする？ 手持ちの🧿を見せてくれるかい？""},{""operation"":""dialog"",""dialogMode"":""yesno""},{""operation"":""answer"",""answerValue"":""yes""},{""operation"":""condition"",""successPage"":""thanks"",""failurePage"":""shortage"",""items"":[{""item"":""🧿"",""count"":1}]},{""operation"":""answer"",""answerValue"":""no""},{""operation"":""page"",""pageId"":""decline"",""text"":""そうか、残念だ。また気が向いたら声をかけてくれ。""},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""page"",""pageId"":""thanks"",""text"":""素晴らしい！これで未来がもっと良く見える。\n🔮1個を渡した。""},{""operation"":""changeItemCount"",""item"":""🧿"",""delta"":-1},{""operation"":""changeItemCount"",""item"":""🔮"",""delta"":1},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""page"",""pageId"":""shortage"",""text"":""ん？🧿が足りないみたいだ。あと少し集めてきてくれないか？""},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""exit"",""pageId"":""end""}],""labelTable"":{""offer"":0,""ask"":1,""decline"":6,""thanks"":8,""shortage"":12,""end"":14}}",trade
Event_08,🔮,"{""entryPage"":""offer"",""commands"":[{""operation"":""page"",""pageId"":""offer"",""text"":""🔮を1個譲ってくれ！代わりに🌟を1つ授けよう。\n星の加護を受けられるぞ。""},{""operation"":""page"",""pageId"":""ask"",""text"":""どうする？ 手持ちの🔮を見せてくれるかい？""},{""operation"":""dialog"",""dialogMode"":""yesno""},{""operation"":""answer"",""answerValue"":""yes""},{""operation"":""condition"",""successPage"":""thanks"",""failurePage"":""shortage"",""items"":[{""item"":""🔮"",""count"":1}]},{""operation"":""answer"",""answerValue"":""no""},{""operation"":""page"",""pageId"":""decline"",""text"":""そうか、残念だ。また気が向いたら声をかけてくれ。""},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""page"",""pageId"":""thanks"",""text"":""ありがとう！星の力を宿した🌟だ、受け取ってくれ。""},{""operation"":""changeItemCount"",""item"":""🔮"",""delta"":-1},{""operation"":""changeItemCount"",""item"":""🌟"",""delta"":1},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""page"",""pageId"":""shortage"",""text"":""ん？🔮が足りないみたいだ。あと少し集めてきてくれないか？""},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""exit"",""pageId"":""end""}],""labelTable"":{""offer"":0,""ask"":1,""decline"":6,""thanks"":8,""shortage"":12,""end"":14}}",trade
Event_09,🥛,"{""entryPage"":""offer"",""commands"":[{""operation"":""page"",""pageId"":""offer"",""text"":""🥛を2個譲ってくれないか？代わりに🥘1個をあげよう。\nいい取引だと思うんだが。""},{""operation"":""page"",""pageId"":""ask"",""text"":""どうする？ 手持ちの🥛を見せてくれるかい？""},{""operation"":""dialog"",""dialogMode"":""yesno""},{""operation"":""answer"",""answerValue"":""yes""},{""operation"":""condition"",""successPage"":""thanks"",""failurePage"":""shortage"",""items"":[{""item"":""🥛"",""count"":2}]},{""operation"":""answer"",""answerValue"":""no""},{""operation"":""page"",""pageId"":""decline"",""text"":""そうか、残念だ。また気が向いたら声をかけてくれ。""},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""page"",""pageId"":""thanks"",""text"":""助かった！これで目的が果たせる。\n🥘1個を渡した。""},{""operation"":""changeItemCount"",""item"":""🥛"",""delta"":-2},{""operation"":""changeItemCount"",""item"":""🥘"",""delta"":1},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""page"",""pageId"":""shortage"",""text"":""ん？🥛が足りないみたいだ。あと少し集めてきてくれないか？""},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""exit"",""pageId"":""end""}],""labelTable"":{""offer"":0,""ask"":1,""decline"":6,""thanks"":8,""shortage"":12,""end"":14}}",trade
Event_10,🌟,"{""entryPage"":""offer"",""commands"":[{""operation"":""page"",""pageId"":""offer"",""text"":""🌟を1個譲ってくれないか？代わりに🕯️1個をあげよう。\nいい取引だと思うんだが。""},{""operation"":""page"",""pageId"":""ask"",""text"":""どうする？ 手持ちの🌟を見せてくれるかい？""},{""operation"":""dialog"",""dialogMode"":""yesno""},{""operation"":""answer"",""answerValue"":""yes""},{""operation"":""condition"",""successPage"":""thanks"",""failurePage"":""shortage"",""items"":[{""item"":""🌟"",""count"":1}]},{""operation"":""answer"",""answerValue"":""no""},{""operation"":""page"",""pageId"":""decline"",""text"":""そうか、残念だ。また気が向いたら声をかけてくれ。""},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""page"",""pageId"":""thanks"",""text"":""助かった！これで目的が果たせる。\n🕯️1個を渡した。""},{""operation"":""changeItemCount"",""item"":""🌟"",""delta"":-1},{""operation"":""changeItemCount"",""item"":""🕯️"",""delta"":1},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""page"",""pageId"":""shortage"",""text"":""ん？🌟が足りないみたいだ。あと少し集めてきてくれないか？""},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""exit"",""pageId"":""end""}],""labelTable"":{""offer"":0,""ask"":1,""decline"":6,""thanks"":8,""shortage"":12,""end"":14}}",trade
Event_11,🕯️,"{""entryPage"":""offer"",""commands"":[{""operation"":""page"",""pageId"":""offer"",""text"":""🕯️を1個譲ってくれないか？代わりに💎1個をあげよう。\nいい取引だと思うんだが。""},{""operation"":""page"",""pageId"":""ask"",""text"":""どうする？ 手持ちの🕯️を見せてくれるかい？""},{""operation"":""dialog"",""dialogMode"":""yesno""},{""operation"":""answer"",""answerValue"":""yes""},{""operation"":""condition"",""successPage"":""thanks"",""failurePage"":""shortage"",""items"":[{""item"":""🕯️"",""count"":1}]},{""operation"":""answer"",""answerValue"":""no""},{""operation"":""page"",""pageId"":""decline"",""text"":""そうか、残念だ。また気が向いたら声をかけてくれ。""},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""page"",""pageId"":""thanks"",""text"":""助かった！これで目的が果たせる。\n💎1個を渡した。""},{""operation"":""changeItemCount"",""item"":""🕯️"",""delta"":-1},{""operation"":""changeItemCount"",""item"":""💎"",""delta"":1},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""page"",""pageId"":""shortage"",""text"":""ん？🕯️が足りないみたいだ。あと少し集めてきてくれないか？""},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""exit"",""pageId"":""end""}],""labelTable"":{""offer"":0,""ask"":1,""decline"":6,""thanks"":8,""shortage"":12,""end"":14}}",trade
Event_12,💎,"{""entryPage"":""offer"",""commands"":[{""operation"":""page"",""pageId"":""offer"",""text"":""💎を1個譲ってくれないか？代わりに📿1個をあげよう。\nいい取引だと思うんだが。""},{""operation"":""page"",""pageId"":""ask"",""text"":""どうする？ 手持ちの💎を見せてくれるかい？""},{""operation"":""dialog"",""dialogMode"":""yesno""},{""operation"":""answer"",""answerValue"":""yes""},{""operation"":""condition"",""successPage"":""thanks"",""failurePage"":""shortage"",""items"":[{""item"":""💎"",""count"":1}]},{""operation"":""answer"",""answerValue"":""no""},{""operation"":""page"",""pageId"":""decline"",""text"":""そうか、残念だ。また気が向いたら声をかけてくれ。""},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""page"",""pageId"":""thanks"",""text"":""助かった！これで目的が果たせる。\n📿1個を渡した。""},{""operation"":""changeItemCount"",""item"":""💎"",""delta"":-1},{""operation"":""changeItemCount"",""item"":""📿"",""delta"":1},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""page"",""pageId"":""shortage"",""text"":""ん？💎が足りないみたいだ。あと少し集めてきてくれないか？""},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""exit"",""pageId"":""end""}],""labelTable"":{""offer"":0,""ask"":1,""decline"":6,""thanks"":8,""shortage"":12,""end"":14}}",trade
Event_13,📿,"{""entryPage"":""offer"",""commands"":[{""operation"":""page"",""pageId"":""offer"",""text"":""📿を1個譲ってくれないか？代わりに🏺1個をあげよう。\nいい取引だと思うんだが。""},{""operation"":""page"",""pageId"":""ask"",""text"":""どうする？ 手持ちの📿を見せてくれるかい？""},{""operation"":""dialog"",""dialogMode"":""yesno""},{""operation"":""answer"",""answerValue"":""yes""},{""operation"":""condition"",""successPage"":""thanks"",""failurePage"":""shortage"",""items"":[{""item"":""📿"",""count"":1}]},{""operation"":""answer"",""answerValue"":""no""},{""operation"":""page"",""pageId"":""decline"",""text"":""そうか、残念だ。また気が向いたら声をかけてくれ。""},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""page"",""pageId"":""thanks"",""text"":""助かった！これで目的が果たせる。\n🏺1個を渡した。""},{""operation"":""changeItemCount"",""item"":""📿"",""delta"":-1},{""operation"":""changeItemCount"",""item"":""🏺"",""delta"":1},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""page"",""pageId"":""shortage"",""text"":""ん？📿が足りないみたいだ。あと少し集めてきてくれないか？""},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""exit"",""pageId"":""end""}],""labelTable"":{""offer"":0,""ask"":1,""decline"":6,""thanks"":8,""shortage"":12,""end"":14}}",trade
Event_14,🏺,"{""entryPage"":""offer"",""commands"":[{""operation"":""page"",""pageId"":""offer"",""text"":""🏺を1個譲ってくれないか？代わりに🗝️1個をあげよう。\nいい取引だと思うんだが。""},{""operation"":""page"",""pageId"":""ask"",""text"":""どうする？ 手持ちの🏺を見せてくれるかい？""},{""operation"":""dialog"",""dialogMode"":""yesno""},{""operation"":""answer"",""answerValue"":""yes""},{""operation"":""condition"",""successPage"":""thanks"",""failurePage"":""shortage"",""items"":[{""item"":""🏺"",""count"":1}]},{""operation"":""answer"",""answerValue"":""no""},{""operation"":""page"",""pageId"":""decline"",""text"":""そうか、残念だ。また気が向いたら声をかけてくれ。""},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""page"",""pageId"":""thanks"",""text"":""助かった！これで目的が果たせる。\n🗝️1個を渡した。""},{""operation"":""changeItemCount"",""item"":""🏺"",""delta"":-1},{""operation"":""changeItemCount"",""item"":""🗝️"",""delta"":1},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""page"",""pageId"":""shortage"",""text"":""ん？🏺が足りないみたいだ。あと少し集めてきてくれないか？""},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""exit"",""pageId"":""end""}],""labelTable"":{""offer"":0,""ask"":1,""decline"":6,""thanks"":8,""shortage"":12,""end"":14}}",trade
Event_15,🗝️,"{""entryPage"":""offer"",""commands"":[{""operation"":""page"",""pageId"":""offer"",""text"":""🗝️を1個譲ってくれないか？代わりに🪣1個をあげよう。\nいい取引だと思うんだが。""},{""operation"":""page"",""pageId"":""ask"",""text"":""どうする？ 手持ちの🗝️を見せてくれるかい？""},{""operation"":""dialog"",""dialogMode"":""yesno""},{""operation"":""answer"",""answerValue"":""yes""},{""operation"":""condition"",""successPage"":""thanks"",""failurePage"":""shortage"",""items"":[{""item"":""🗝️"",""count"":1}]},{""operation"":""answer"",""answerValue"":""no""},{""operation"":""page"",""pageId"":""decline"",""text"":""そうか、残念だ。また気が向いたら声をかけてくれ。""},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""page"",""pageId"":""thanks"",""text"":""助かった！これで目的が果たせる。\n🪣1個を渡した。""},{""operation"":""changeItemCount"",""item"":""🗝️"",""delta"":-1},{""operation"":""changeItemCount"",""item"":""🪣"",""delta"":1},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""page"",""pageId"":""shortage"",""text"":""ん？🗝️が足りないみたいだ。あと少し集めてきてくれないか？""},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""exit"",""pageId"":""end""}],""labelTable"":{""offer"":0,""ask"":1,""decline"":6,""thanks"":8,""shortage"":12,""end"":14}}",trade
Event_16,🪣,"{""entryPage"":""offer"",""commands"":[{""operation"":""page"",""pageId"":""offer"",""text"":""🪣を1個譲ってくれないか？代わりに🧵1個をあげよう。\nいい取引だと思うんだが。""},{""operation"":""page"",""pageId"":""ask"",""text"":""どうする？ 手持ちの🪣を見せてくれるかい？""},{""operation"":""dialog"",""dialogMode"":""yesno""},{""operation"":""answer"",""answerValue"":""yes""},{""operation"":""condition"",""successPage"":""thanks"",""failurePage"":""shortage"",""items"":[{""item"":""🪣"",""count"":1}]},{""operation"":""answer"",""answerValue"":""no""},{""operation"":""page"",""pageId"":""decline"",""text"":""そうか、残念だ。また気が向いたら声をかけてくれ。""},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""page"",""pageId"":""thanks"",""text"":""助かった！これで目的が果たせる。\n🧵1個を渡した。""},{""operation"":""changeItemCount"",""item"":""🪣"",""delta"":-1},{""operation"":""changeItemCount"",""item"":""🧵"",""delta"":1},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""page"",""pageId"":""shortage"",""text"":""ん？🪣が足りないみたいだ。あと少し集めてきてくれないか？""},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""exit"",""pageId"":""end""}],""labelTable"":{""offer"":0,""ask"":1,""decline"":6,""thanks"":8,""shortage"":12,""end"":14}}",trade
