id,emoji,detectionRadius,attackRange,attacknearRange,attackCooldown,coinDropCount,extraDropItem,BARRIER_HP_THRESHOLD,BARRIER_PROBABILITY,BARRIER_DURATION_MS,MODE_ORBIT_PROB,MODE_TIMER_MIN_MS,MODE_TIMER_MAX_MS,APPROACH_ANGLE_JITTER,APPROACH_ACCEL,RETREAT_ACCEL,ORBIT_DIFF_THRESHOLD,ORBIT_CORRECT_ACCEL,EXIT_DISTANCE_LIMIT
INVADER,👾,500,250,212.5,2000,3,COIN,0.1,0.02,3000.0,0.4,500.0,800.0,0.2,0.8,-0.6,3.0,0.4,3000.0
ONI,👹,360,180,150.0,2000,3,COIN,0.1,0.02,3000.0,0.4,500.0,800.0,0.2,0.8,-0.6,3.0,0.4,3000.0
SPECTER,👻,400,200,170.0,2000,3,COIN,0.1,0.02,3000.0,0.6,200.0,400.0,0.25,1.0,-0.8,2.0,0.5,3500.0
DRAGON,🐉,540,270,229.5,2000,3,COIN,0.1,0.02,3000.0,0.2,800.0,1200.0,0.1,0.6,-0.4,4.0,0.3,2500.0
ZOMBIE,🧟,360,180,150.0,2000,3,COIN,0.0,0.0,0.0,0.2,800.0,1200.0,0.1,0.6,-0.4,4.0,0.3,2500.0
TENGU,👺,360,180,150.0,2000,3,COIN,0.0,0.0,0.0,0.4,500.0,800.0,0.2,0.8,-0.6,3.0,0.4,3000.0
BAT,🦇,700,350,297.5,2000,2,COIN,0.0,0.0,0.0,0.6,200.0,400.0,0.25,1.0,-0.8,2.0,0.5,3500.0
WOLF,🐺,360,180,150.0,2000,3,COIN,0.0,0.0,0.0,0.6,200.0,400.0,0.25,1.0,-0.8,2.0,0.5,3500.0
MECHA,🤖,360,180,150.0,2000,4,COIN,0.1,0.02,3000.0,0.2,800.0,1200.0,0.1,0.6,-0.4,4.0,0.3,2500.0
JACK,🎃,500,250,212.5,2000,2,COIN,0.0,0.0,0.0,0.4,500.0,800.0,0.2,0.8,-0.6,3.0,0.4,3000.0
phoenix,🐦‍🔥,500,250,212.5,2000,3,COIN,0.1,0.02,3000.0,0.6,200.0,400.0,0.25,1.0,-0.8,2.0,0.5,3500.0
Crocodile,🐊,360,180,150.0,2000,4,COIN,0.0,0.0,0.0,0.4,500.0,800.0,0.2,0.8,-0.6,3.0,0.4,3000.0
Mammoth,🦣,360,180,150.0,2000,3,COIN,0.0,0.0,0.0,0.2,800.0,1200.0,0.1,0.6,-0.4,4.0,0.3,2500.0
Bear,🐻,360,180,150.0,2000,3,COIN,0.0,0.0,0.0,0.2,800.0,1200.0,0.1,0.6,-0.4,4.0,0.3,2500.0
PolarBear,🐻‍❄️,360,180,150.0,2000,3,COIN,0.0,0.0,0.0,0.2,800.0,1200.0,0.1,0.6,-0.4,4.0,0.3,2500.0
Tiger,🐅,360,180,150.0,2000,3,COIN,0.0,0.0,0.0,0.6,200.0,400.0,0.25,1.0,-0.8,2.0,0.5,3500.0
Moose,🫎,360,180,150.0,2000,3,COIN,0.0,0.0,0.0,0.4,500.0,800.0,0.2,0.8,-0.6,3.0,0.4,3000.0
Buffalo,🐃,360,180,150.0,2000,3,COIN,0.0,0.0,0.0,0.2,800.0,1200.0,0.1,0.6,-0.4,4.0,0.3,2500.0
Otter,🦦,360,180,150.0,2000,3,COIN,0.0,0.0,0.0,0.6,200.0,400.0,0.25,1.0,-0.8,2.0,0.5,3500.0
BlackBird,🐦‍⬛,360,180,150.0,2000,3,COIN,0.0,0.0,0.0,0.6,200.0,400.0,0.25,1.0,-0.8,2.0,0.5,3500.0
Turtle,🐢,360,180,150.0,2000,3,COIN,0.0,0.0,0.0,0.2,800.0,1200.0,0.1,0.6,-0.4,4.0,0.3,2500.0
Snake,🐍,360,180,150.0,2000,3,COIN,0.0,0.0,0.0,0.4,500.0,800.0,0.2,0.8,-0.6,3.0,0.4,3000.0
Sauropod,🦕,360,180,150.0,2000,3,COIN,0.0,0.0,0.0,0.2,800.0,1200.0,0.1,0.6,-0.4,4.0,0.3,2500.0
T-Rex,🦖,360,180,150.0,2000,3,COIN,0.0,0.0,0.0,0.2,800.0,1200.0,0.1,0.6,-0.4,4.0,0.3,2500.0
Rat,🐀,360,180,150.0,2000,3,COIN,0.0,0.0,0.0,0.6,200.0,400.0,0.25,1.0,-0.8,2.0,0.5,3500.0
Boar,🐗,360,180,150.0,2000,3,COIN,0.0,0.0,0.0,0.6,200.0,400.0,0.25,1.0,-0.8,2.0,0.5,3500.0
SLIME,🟢,540,270,229.5,2000,3,COIN,0.0,0.0,0.0,0.4,500.0,800.0,0.2,0.8,-0.6,3.0,0.4,3000.0
