"id","titleEmoji","text","mode"
"Event_01","🍞","{""commands"":[{""operation"":""page"",""pageId"":""offer"",""text"":""🍄を5個集めてくれたら🪙200枚で買い取ろうと思うんだ。\nちょうどキノコ料理を振る舞う予定でね。""},{""operation"":""page"",""pageId"":""ask"",""text"":""どうする？ 手持ちの🍄を見せてくれるかい？""},{""operation"":""dialog"",""dialogMode"":""yesno""},{""operation"":""answer"",""answerValue"":""yes""},{""operation"":""condition"",""successPage"":""thanks"",""failurePage"":""shortage"",""items"":[{""item"":""🍄"",""count"":5}]},{""operation"":""answer"",""answerValue"":""no""},{""operation"":""page"",""pageId"":""decline"",""text"":""そうか、残念だ。また気が向いたら声をかけてくれ。""},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""page"",""pageId"":""thanks"",""text"":""ありがとう！助かったよ。\n🪙200枚を渡した。キノコ料理の仕込みが進みそうだ。""},{""operation"":""changeItemCount"",""item"":""🍄"",""delta"":-5},{""operation"":""changeItemCount"",""item"":""🪙"",""delta"":200},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""page"",""pageId"":""shortage"",""text"":""ん？🍄が足りないみたいだ。あと少し集めてきてくれないか？""},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""exit"",""pageId"":""end""}],""labelTable"":{""offer"":0,""ask"":1,""decline"":6,""thanks"":8,""shortage"":12,""end"":14},""entryPage"":""offer""}",""
"Event_02","🍞","{""commands"":[{""operation"":""page"",""pageId"":""offer"",""text"":""🍞を3個集めてくれたら🪙50枚で買い取ろうと思うんだ。\n朝食を用意しているんだ。""},{""operation"":""page"",""pageId"":""ask"",""text"":""どうする？ 手持ちの🍞を見せてくれるかい？""},{""operation"":""dialog"",""dialogMode"":""yesno""},{""operation"":""answer"",""answerValue"":""yes""},{""operation"":""condition"",""successPage"":""thanks"",""failurePage"":""shortage"",""items"":[{""item"":""🍞"",""count"":3}]},{""operation"":""answer"",""answerValue"":""no""},{""operation"":""page"",""pageId"":""decline"",""text"":""そうか、残念だ。また気が向いたら声をかけてくれ。""},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""page"",""pageId"":""thanks"",""text"":""ありがとう！助かったよ。\n🪙50枚を渡した。""},{""operation"":""changeItemCount"",""item"":""🍞"",""delta"":-3},{""operation"":""changeItemCount"",""item"":""🪙"",""delta"":50},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""page"",""pageId"":""shortage"",""text"":""ん？🍞が足りないみたいだ。あと少し集めてきてくれないか？""},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""exit"",""pageId"":""end""}],""labelTable"":{""offer"":0,""ask"":1,""decline"":6,""thanks"":8,""shortage"":12,""end"":14},""entryPage"":""offer""}",""
"Event_03","🍗","{""commands"":[{""operation"":""page"",""pageId"":""offer"",""text"":""🍗を2本持ってきてくれたら🪙120枚を払おう。豪華な宴を開きたくてね。""},{""operation"":""page"",""pageId"":""ask"",""text"":""どうする？ 手持ちの🍗を見せてくれるかい？""},{""operation"":""dialog"",""dialogMode"":""yesno""},{""operation"":""answer"",""answerValue"":""yes""},{""operation"":""condition"",""successPage"":""thanks"",""failurePage"":""shortage"",""items"":[{""item"":""🍗"",""count"":2}]},{""operation"":""answer"",""answerValue"":""no""},{""operation"":""page"",""pageId"":""decline"",""text"":""そうか、残念だ。また気が向いたら声をかけてくれ。""},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""page"",""pageId"":""thanks"",""text"":""最高だ！これで宴は盛り上がる。\n🪙120枚を渡した。""},{""operation"":""changeItemCount"",""item"":""🍗"",""delta"":-2},{""operation"":""changeItemCount"",""item"":""🪙"",""delta"":120},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""page"",""pageId"":""shortage"",""text"":""ん？🍗が足りないみたいだ。あと少し集めてきてくれないか？""},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""exit"",""pageId"":""end""}],""labelTable"":{""offer"":0,""ask"":1,""decline"":6,""thanks"":8,""shortage"":12,""end"":14},""entryPage"":""offer""}",""
"Event_04","🍎","{""commands"":[{""operation"":""page"",""pageId"":""offer"",""text"":""🍎を5個譲ってくれないか？代わりに🧀を2個あげよう。\n甘いパイを作りたいんだ。""},{""operation"":""page"",""pageId"":""ask"",""text"":""どうする？ 手持ちの🍎を見せてくれるかい？""},{""operation"":""dialog"",""dialogMode"":""yesno""},{""operation"":""answer"",""answerValue"":""yes""},{""operation"":""condition"",""successPage"":""thanks"",""failurePage"":""shortage"",""items"":[{""item"":""🍎"",""count"":5}]},{""operation"":""answer"",""answerValue"":""no""},{""operation"":""page"",""pageId"":""decline"",""text"":""そうか、残念だ。また気が向いたら声をかけてくれ。""},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""page"",""pageId"":""thanks"",""text"":""助かった！パイ作りが捗るよ。\n🧀2個を渡した。""},{""operation"":""changeItemCount"",""item"":""🍎"",""delta"":-5},{""operation"":""changeItemCount"",""item"":""🧀"",""delta"":2},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""page"",""pageId"":""shortage"",""text"":""ん？🍎が足りないみたいだ。あと少し集めてきてくれないか？""},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""exit"",""pageId"":""end""}],""labelTable"":{""offer"":0,""ask"":1,""decline"":6,""thanks"":8,""shortage"":12,""end"":14},""entryPage"":""offer""}",""
"Event_05","🧀","{""commands"":[{""operation"":""page"",""pageId"":""offer"",""text"":""🧀を2個用意してくれたら🥘1皿と交換しよう。\n濃厚なシチューを味わってみないか？""},{""operation"":""page"",""pageId"":""ask"",""text"":""どうする？ 手持ちの🧀を見せてくれるかい？""},{""operation"":""dialog"",""dialogMode"":""yesno""},{""operation"":""answer"",""answerValue"":""yes""},{""operation"":""condition"",""successPage"":""thanks"",""failurePage"":""shortage"",""items"":[{""item"":""🧀"",""count"":2}]},{""operation"":""answer"",""answerValue"":""no""},{""operation"":""page"",""pageId"":""decline"",""text"":""そうか、残念だ。また気が向いたら声をかけてくれ。""},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""page"",""pageId"":""thanks"",""text"":""待ってたぞ！さあ、出来立ての🥘シチューだ。""},{""operation"":""changeItemCount"",""item"":""🧀"",""delta"":-2},{""operation"":""changeItemCount"",""item"":""🥘"",""delta"":1},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""page"",""pageId"":""shortage"",""text"":""ん？🧀が足りないみたいだ。あと少し集めてきてくれないか？""},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""exit"",""pageId"":""end""}],""labelTable"":{""offer"":0,""ask"":1,""decline"":6,""thanks"":8,""shortage"":12,""end"":14},""entryPage"":""offer""}",""
"Event_06","🥘","{""commands"":[{""operation"":""page"",""pageId"":""offer"",""text"":""🥘を1皿譲ってくれないか？代わりに🧿を1個あげよう。\n儀式に必要なんだ。""},{""operation"":""page"",""pageId"":""ask"",""text"":""どうする？ 手持ちの🥘を見せてくれるかい？""},{""operation"":""dialog"",""dialogMode"":""yesno""},{""operation"":""answer"",""answerValue"":""yes""},{""operation"":""condition"",""successPage"":""thanks"",""failurePage"":""shortage"",""items"":[{""item"":""🥘"",""count"":1}]},{""operation"":""answer"",""answerValue"":""no""},{""operation"":""page"",""pageId"":""decline"",""text"":""そうか、残念だ。また気が向いたら声をかけてくれ。""},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""page"",""pageId"":""thanks"",""text"":""助かった！これで儀式の準備が整う。\n🧿1個を渡した。""},{""operation"":""changeItemCount"",""item"":""🥘"",""delta"":-1},{""operation"":""changeItemCount"",""item"":""🧿"",""delta"":1},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""page"",""pageId"":""shortage"",""text"":""ん？🥘が足りないみたいだ。あと少し集めてきてくれないか？""},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""exit"",""pageId"":""end""}],""labelTable"":{""offer"":0,""ask"":1,""decline"":6,""thanks"":8,""shortage"":12,""end"":14},""entryPage"":""offer""}",""
"Event_07","🧿","{""commands"":[{""operation"":""page"",""pageId"":""offer"",""text"":""🧿を1個持ってきてくれたら🔮1個と取り替えよう。\nもっと強力な占い道具が欲しくてね.""},{""operation"":""page"",""pageId"":""ask"",""text"":""どうする？ 手持ちの🧿を見せてくれるかい？""},{""operation"":""dialog"",""dialogMode"":""yesno""},{""operation"":""answer"",""answerValue"":""yes""},{""operation"":""condition"",""successPage"":""thanks"",""failurePage"":""shortage"",""items"":[{""item"":""🧿"",""count"":1}]},{""operation"":""answer"",""answerValue"":""no""},{""operation"":""page"",""pageId"":""decline"",""text"":""そうか、残念だ。また気が向いたら声をかけてくれ。""},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""page"",""pageId"":""thanks"",""text"":""素晴らしい！これで未来がもっと良く見える。\n🔮1個を渡した。""},{""operation"":""changeItemCount"",""item"":""🧿"",""delta"":-1},{""operation"":""changeItemCount"",""item"":""🔮"",""delta"":1},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""page"",""pageId"":""shortage"",""text"":""ん？🧿が足りないみたいだ。あと少し集めてきてくれないか？""},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""exit"",""pageId"":""end""}],""labelTable"":{""offer"":0,""ask"":1,""decline"":6,""thanks"":8,""shortage"":12,""end"":14},""entryPage"":""offer""}",""
"Event_08","🔮","{""commands"":[{""operation"":""page"",""pageId"":""offer"",""text"":""🔮を1個譲ってくれ！代わりに🌟を1つ授けよう。\n星の加護を受けられるぞ。""},{""operation"":""page"",""pageId"":""ask"",""text"":""どうする？ 手持ちの🔮を見せてくれるかい？""},{""operation"":""dialog"",""dialogMode"":""yesno""},{""operation"":""answer"",""answerValue"":""yes""},{""operation"":""condition"",""successPage"":""thanks"",""failurePage"":""shortage"",""items"":[{""item"":""🔮"",""count"":1}]},{""operation"":""answer"",""answerValue"":""no""},{""operation"":""page"",""pageId"":""decline"",""text"":""そうか、残念だ。また気が向いたら声をかけてくれ。""},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""page"",""pageId"":""thanks"",""text"":""ありがとう！星の力を宿した🌟だ、受け取ってくれ。""},{""operation"":""changeItemCount"",""item"":""🔮"",""delta"":-1},{""operation"":""changeItemCount"",""item"":""🌟"",""delta"":1},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""page"",""pageId"":""shortage"",""text"":""ん？🔮が足りないみたいだ。あと少し集めてきてくれないか？""},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""exit"",""pageId"":""end""}],""labelTable"":{""offer"":0,""ask"":1,""decline"":6,""thanks"":8,""shortage"":12,""end"":14},""entryPage"":""offer""}",""
"Event_09","🥛","{""commands"":[{""operation"":""page"",""pageId"":""offer"",""text"":""🥛を2個譲ってくれないか？代わりに🥘1個をあげよう。\nいい取引だと思うんだが。""},{""operation"":""page"",""pageId"":""ask"",""text"":""どうする？ 手持ちの🥛を見せてくれるかい？""},{""operation"":""dialog"",""dialogMode"":""yesno""},{""operation"":""answer"",""answerValue"":""yes""},{""operation"":""condition"",""successPage"":""thanks"",""failurePage"":""shortage"",""items"":[{""item"":""🥛"",""count"":2}]},{""operation"":""answer"",""answerValue"":""no""},{""operation"":""page"",""pageId"":""decline"",""text"":""そうか、残念だ。また気が向いたら声をかけてくれ。""},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""page"",""pageId"":""thanks"",""text"":""助かった！これで目的が果たせる。\n🥘1個を渡した。""},{""operation"":""changeItemCount"",""item"":""🥛"",""delta"":-2},{""operation"":""changeItemCount"",""item"":""🥘"",""delta"":1},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""page"",""pageId"":""shortage"",""text"":""ん？🥛が足りないみたいだ。あと少し集めてきてくれないか？""},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""exit"",""pageId"":""end""}],""labelTable"":{""offer"":0,""ask"":1,""decline"":6,""thanks"":8,""shortage"":12,""end"":14},""entryPage"":""offer""}",""
"Event_10","🌟","{""commands"":[{""operation"":""page"",""pageId"":""offer"",""text"":""🌟を1個譲ってくれないか？代わりに🕯️1個をあげよう。\nいい取引だと思うんだが。""},{""operation"":""page"",""pageId"":""ask"",""text"":""どうする？ 手持ちの🌟を見せてくれるかい？""},{""operation"":""dialog"",""dialogMode"":""yesno""},{""operation"":""answer"",""answerValue"":""yes""},{""operation"":""condition"",""successPage"":""thanks"",""failurePage"":""shortage"",""items"":[{""item"":""🌟"",""count"":1}]},{""operation"":""answer"",""answerValue"":""no""},{""operation"":""page"",""pageId"":""decline"",""text"":""そうか、残念だ。また気が向いたら声をかけてくれ。""},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""page"",""pageId"":""thanks"",""text"":""助かった！これで目的が果たせる。\n🕯️1個を渡した。""},{""operation"":""changeItemCount"",""item"":""🌟"",""delta"":-1},{""operation"":""changeItemCount"",""item"":""🕯️"",""delta"":1},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""page"",""pageId"":""shortage"",""text"":""ん？🌟が足りないみたいだ。あと少し集めてきてくれないか？""},{""operation"":""jump"",""targetPage"":""end""},{""operation"":""exit"",""pageId"":""end""}],""labelTable"":{""offer"":0,""ask"":1,""decline"":6,""thanks"":8,""shortage"":12,""end"":14},""entryPage"":""offer""}",""
