id	emoji	MaxSpeed	hp	attackMagic	attack	coinDropCount	FIREBALL	ICE	LIGHTNING	TORNADO	METEOR	EXPLOSION	GUST	BUBBLE	RAINBOW	WEB	POISONSTING	SWORDSLASH	GREATAxe	HAMMERCRUSH	TRIDENTTHRUST	SHIELDBASH
INVADER	👾	2	100	FIREBALL	10	300	1	1	0.8	1	1.1	1.1	1	1.5	1.2	1	1	1	1.2	1.2	0.9	1
ONI	👹	1.5	150	GREATAxe	15	3	0.7	1.8	1	1	1.3	1.1	0.9	0.8	1.5	1	1	0.8	1.1	1.5	1	0.8
SPECTER	👻	3	80	GUST	8	3	0.9	1	1.7	1.2	0.9	0.8	1.3	1	2	0.6	0.5	0.5	0.6	0.7	0.4	0.5
DRAGON	🐉	1.2	200	METEOR	20	3	0.5	2	1.1	1.4	1.7	1.5	0.9	0.9	1.1	0.8	0.8	0.7	0.8	1.2	0.9	0.7
ZOMBIE	🧟	1	120	SWORDSLASH	12	3	2	0.9	1	0.9	1.2	1.3	1	0.9	1.4	1.1	0.3	1.2	1.3	1.5	0.9	1
TENGU	👺	2.2	130	TRIDENTTHRUST	14	3	1	1	1.5	1.1	1.2	1	0.7	0.9	1.3	1.2	0.9	1.3	1.1	0.9	0.8	1
BAT	🦇	3.5	60	POISONSTING	6	2	0.9	1.5	1.8	1.6	1	1.2	1.6	1	1.2	0.5	1	1.4	1.2	1.3	1.2	0.6
WOLF	🐺	2.8	110	HAMMERCRUSH	12	3	1.6	0.8	1.2	1.1	1.3	1.2	1	1	1.1	1	1.3	1	1.2	1.3	1.1	1
MECHA	🤖	1.3	180	EXPLOSION	18	4	1.1	1.3	2	1	1.8	2	0.9	1.4	1	0.9	0.1	0.7	1.4	1.6	0.6	0.5
JACK	🎃	1.7	90	FIREBALL	10	2	1.8	0.9	1.1	1.2	1.3	1.4	1	1	1.2	1	0.8	1.5	1.6	1.2	1.2	0.8
