id	emoji	type	value	shopcost	drop	shop	infotext
COIN	🪙	coin	3	0	0.9	0	コインを3枚獲得する
MASHROOM	🍄	hp	30	5	0.05	0	HPを30回復する
POISON	💀	hp	-30	-10	0.05	0	HPが30減少する
MP	💧	mp	30	5	0.05	0	MPを30回復する
DROPMAGICLEVEL	📒	magiclevel	1	5	0.05	0	魔法レベルが1上昇する
DROPPOWERUP	🗡️	atk	10	20	0.05	0	攻撃力が10増加する
DROPSHIELD	🛡️	def	10	20	0.05	0	防御力が10増加する
DROPSPEEDUP	🌀	spd	0.2	15	0.05	0	移動速度が20%上昇する
DROPREGENE_DRINK	🍷	regeneMP	0.1	15	0.05	0	MP自動回復量が0.1増加する
DROPHEARTPLUS	❤️	maxHP	20	25	0.05	0	最大HPが20増加する
DROPMINDPLUS	💠	maxMP	20	25	0.05	0	最大MPが20増加する
DROPSCOPE	📡	fireRange	50	30	0.05	0	射程が50増加する
DROPDISCOUNT	💲	shopcost	-5	50	0.05	0	ショップ価格が5減少する
DROPFIREBALL	🔥	MagicName	FIREBALL	100	0.05	0	魔法『FIREBALL』を習得する
DROPICE	❄️	MagicName	ICE	100	0.05	0	魔法『ICE』を習得する
DROPLIGHTNING	⚡	MagicName	LIGHTNING	100	0.05	0	魔法『LIGHTNING』を習得する
DROPTORNADO	🌪️	MagicName	TORNADO	100	0.05	0	魔法『TORNADO』を習得する
DROPMETEOR	☄️	MagicName	METEOR	100	0.05	0	魔法『METEOR』を習得する
DROPEXPLOSION	💥	MagicName	EXPLOSION	100	0.05	0	魔法『EXPLOSION』を習得する
DROPGUST	💨	MagicName	GUST	100	0.05	0	魔法『GUST』を習得する
DROPBUBBLE	🫧	MagicName	BUBBLE	100	0.05	0	魔法『BUBBLE』を習得する
DROPRAINBOW	🌈	MagicName	RAINBOW	100	0.05	0	魔法『RAINBOW』を習得する
DROPWEB	🕸️	MagicName	WEB	100	0.05	0	魔法『WEB』を習得する
DROPPOISONSTING	🦂	MagicName	POISONSTING	100	0.05	0	魔法『POISONSTING』を習得する
DropCOIN	💰	coin	30	0	1	0	コインを30枚獲得する
POWERUP	🗡️	atk	10	20	0	1	攻撃力が10増加する
SHIELD	🛡️	def	10	20	0	1	防御力が10増加する
SPEEDUP	🌀	spd	0.2	15	0	1	移動速度が20%上昇する
REGENE_DRINK	🍷	regeneMP	0.1	15	0	1	MP自動回復量が0.1増加する
HEARTPLUS	❤️	maxHP	20	25	0	1	最大HPが20増加する
MINDPLUS	💠	maxMP	20	25	0	1	最大MPが20増加する
SCOPE	📡	fireRange	50	30	0	1	射程が50増加する
DISCOUNT	💲	shopcost	-5	50	0	1	ショップ価格が5減少する
FIREBALL	🔥	MagicName	FIREBALL	100	0	1	魔法『FIREBALL』を習得する
ICE	❄️	MagicName	ICE	100	0	1	魔法『ICE』を習得する
LIGHTNING	⚡	MagicName	LIGHTNING	100	0	1	魔法『LIGHTNING』を習得する
TORNADO	🌪️	MagicName	TORNADO	100	0	1	魔法『TORNADO』を習得する
METEOR	☄️	MagicName	METEOR	100	0	1	魔法『METEOR』を習得する
EXPLOSION	💥	MagicName	EXPLOSION	100	0	1	魔法『EXPLOSION』を習得する
GUST	💨	MagicName	GUST	100	0	1	魔法『GUST』を習得する
BUBBLE	🫧	MagicName	BUBBLE	100	0	1	魔法『BUBBLE』を習得する
RAINBOW	🌈	MagicName	RAINBOW	100	0	1	魔法『RAINBOW』を習得する
WEB	🕸️	MagicName	WEB	100	0	1	魔法『WEB』を習得する
POISONSTING	🦂	MagicName	POISONSTING	100	0	1	魔法『POISONSTING』を習得する
DropMagicLevel	📒	magiclevel	5	100	0	1	魔法レベルが5上昇する
