⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,🟫,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,🟫,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,🟫,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️
⛰️,,,,,,,,🟫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,⛰️,⛰️,,,,,,,,🟫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,⛰️,⛰️,,,,,,,,🟫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,⛰️
⛰️,,🧱,🧱,🧱,🧱,🧱,🧱,🟫,🧱,🧱,🧱,🧱,🧱,🧱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🪨,🪨,🪨,🪨,🪨,🪨,🪨,🪨,🪨,🪨,🪨,🪨,🪨,⛰️,⛰️,,🧱,🧱,🧱,🧱,🧱,🧱,🟫,🧱,🧱,🧱,🧱,🧱,🧱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🪨,🪨,🪨,🪨,🪨,🪨,🪨,🪨,🪨,🪨,🪨,🪨,🪨,⛰️,⛰️,,🧱,🧱,🧱,🧱,🧱,🧱,🟫,🧱,🧱,🧱,🧱,🧱,🧱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🪨,🪨,🪨,🪨,🪨,🪨,🪨,🪨,🪨,🪨,🪨,🪨,🪨,⛰️
⛰️,,🧱,🏡,,,🏘️,,🟫,🏘️,,,🏚️,,🧱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🪨,,,,,,,,,,,,🪨,⛰️,⛰️,,🧱,🏡,,,🏘️,,🟫,🏘️,,,🏚️,,🧱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🪨,,,,,,,,,,,,🪨,⛰️,⛰️,,🧱,🏡,,,🏘️,,🟫,🏘️,,,🏚️,,🧱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🪨,,,,,,,,,,,,🪨,⛰️
⛰️,,🧱,,,🏚️,,,🟫,,,🏘️,,,🧱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🪨,,,,,,,,,,,,🪨,⛰️,⛰️,,🧱,,,🏚️,,,🟫,,,🏘️,,,🧱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🪨,,,,,,,,,,,,🪨,⛰️,⛰️,,🧱,,,🏚️,,,🟫,,,🏘️,,,🧱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🪨,,,,,,,,,,,,🪨,⛰️
⛰️,,🧱,,🏘️,,,🏚️,🟫,,🏘️,,,🏡,🧱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🪨,,,,,,,,,,,,🪨,⛰️,⛰️,,🧱,,🏘️,,,🏚️,🟫,,🏘️,,,🏡,🧱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🪨,,,,,,,,,,,,🪨,⛰️,⛰️,,🧱,,🏘️,,,🏚️,🟫,,🏘️,,,🏡,🧱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🪨,,,,,,,,,,,,🪨,⛰️
⛰️,,🧱,🏡,,,🏚️,,🟫,🏡,,,🏠,,🧱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🪨,,,,,,💀,,,,,,🪨,⛰️,⛰️,,🧱,🏡,,,🏚️,,🟫,🏡,,,🏠,,🧱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🪨,,,,,,💀,,,,,,🪨,⛰️,⛰️,,🧱,🏡,,,🏚️,,🟫,🏡,,,🏠,,🧱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🪨,,,,,,💀,,,,,,🪨,⛰️
⛰️,,🧱,,,🏘️,,,🟫,,,🏡,,,🧱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🪨,,,,,,,,,,,,🪨,⛰️,⛰️,,🧱,,,🏘️,,,🟫,,,🏡,,,🧱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🪨,,,,,,,,,,,,🪨,⛰️,⛰️,,🧱,,,🏘️,,,🟫,,,🏡,,,🧱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🪨,,,,,,,,,,,,🪨,⛰️
⛰️,,🧱,,🏠,,,🏚️,🟫,,🏘️,,,🏘️,🧱,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🪨,,,,,,,,,,,,🪨,⛰️,⛰️,,🧱,,🏠,,,🏚️,🟫,,🏘️,,,🏘️,🧱,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🪨,,,,,,,,,,,,🪨,⛰️,⛰️,,🧱,,🏠,,,🏚️,🟫,,🏘️,,,🏘️,🧱,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🪨,,,,,,,,,,,,🪨,⛰️
⛰️,,🧱,🏡,,,🏡,,🟫,🏚️,,,🏘️,,🧱,,,,,,,,,,,,,,,,🟫,🟫,,,,,,,,,,,,,,,,,,,🪨,,,,,,,,,,,,🪨,⛰️,⛰️,,🧱,🏡,,,🏡,,🟫,🏚️,,,🏘️,,🧱,,,,,,,,,,,,,,,,🟫,🟫,,,,,,,,,,,,,,,,,,,🪨,,,,,,,,,,,,🪨,⛰️,⛰️,,🧱,🏡,,,🏡,,🟫,🏚️,,,🏘️,,🧱,,,,,,,,,,,,,,,,🟫,🟫,,,,,,,,,,,,,,,,,,,🪨,,,,,,,,,,,,🪨,⛰️
