id,emoji,type,value,shopcost,drop,shop,filtertype,infotext
COIN,🪙,coin,3,0,0.9,0,drop,コインを3枚獲得する
MASHROOM,🍄,hp,30,5,0.05,0,drop,HPを30回復する
POISON,💀,hp,-30,-10,0.05,0,drop,HPが30減少する
MP,💧,mp,30,5,0.05,0,drop,MPを30回復する
maxHP,❤️,maxHP,20,25,0.01,1,status,最大HPが20増加する
maxMP,💠,maxMP,20,25,0.01,1,status,最大MPが20増加する
mpregene,🍷,mpregene,0.1,15,0.01,1,status,MP自動回復量が0.1増加する
deffence,🛡️,deffence,0.5,20,0.01,1,status,防御力が0.5増加する
MaxSpeed,🌀,MaxSpeed,0.01,15,0.01,1,status,移動速度が0.01上昇する
attackPierceCount,🏹,attackPierceCount,1,15,0.01,1,magicstatus,魔法の貫通回数が1増える
HomingRadius,🎯,HomingRadius,50,15,0.01,1,magicstatus,ホーミング察知距離が50増える
HomingPower,🧲,HomingPower,0.1,15,0.01,1,magicstatus,ホーミング回転率を0.1あげる
AddLifeTime,📡,AddLifeTime,50,30,0.01,1,magicstatus,射程が50増加する
FireCnt,📒,FireCnt,1,100,0.01,1,magicstatus,魔法の数が1増える
attack,🗡️,attack,1,20,0.01,1,status,攻撃力が1増加する
AddMaxSpeed,🚀,AddMaxSpeed,0.01,100,0.01,1,magicstatus,魔法の速度が0.01上昇する
UseMP,🔋,UseMP,-5,100,0.01,1,magicstatus,魔法魔力が5減る
RegistFIREBALL,🔥,RegistFIREBALL,-0.05,100,0.01,1,regist,魔法『FIREBALL』抵抗力が0.1あがる
RegistICE,❄️,RegistICE,-0.05,100,0.01,1,regist,魔法『ICE』抵抗力が0.1あがる
RegistLIGHTNING,⚡,RegistLIGHTNING,-0.05,100,0.01,1,regist,魔法『LIGHTNING』抵抗力が0.1あがる
RegistTORNADO,🌪️,RegistTORNADO,-0.05,100,0.01,1,regist,魔法『TORNADO』抵抗力が0.1あがる
RegistMETEOR,☄️,RegistMETEOR,-0.05,100,0.01,1,regist,魔法『METEOR』抵抗力が0.1あがる
RegistEXPLOSION,💥,RegistEXPLOSION,-0.05,100,0.01,1,regist,魔法『EXPLOSION』抵抗力が0.1あがる
RegistGUST,💨,RegistGUST,-0.05,100,0.01,1,regist,魔法『GUST』抵抗力が0.1あがる
RegistBUBBLE,🫧,RegistBUBBLE,-0.05,100,0.01,1,regist,魔法『BUBBLE』抵抗力が0.1あがる
RegistRAINBOW,🌈,RegistRAINBOW,-0.05,100,0.01,1,regist,魔法『RAINBOW』抵抗力が0.1あがる
RegistWEB,🕸️,RegistWEB,-0.05,100,0.01,1,regist,魔法『WEB』抵抗力が0.1あがる
RegistPOISONSTING,🦂,RegistPOISONSTING,-0.05,100,0.01,1,regist,魔法『POISONSTING』抵抗力が0.1あがる
RegistSWORDSLASH,🗡️,RegistSWORDSLASH,-0.05,100,0.01,1,regist,魔法『SWORDSLASH』抵抗力が0.1あがる
RegistGREATAxe,🪓,RegistGREATAxe,-0.05,100,0.01,1,regist,魔法『GREATAxe』抵抗力が0.1あがる
RegistHAMMERCRUSH,🔨,RegistHAMMERCRUSH,-0.05,100,0.01,1,regist,魔法『HAMMERCRUSH』抵抗力が0.1あがる
RegistTRIDENTTHRUST,🔱,RegistTRIDENTTHRUST,-0.05,100,0.01,1,regist,魔法『TRIDENTTHRUST』抵抗力が0.1あがる
RegistSHIELDBASH,🛡️,RegistSHIELDBASH,-0.05,100,0.01,1,regist,魔法『SHIELDBASH』抵抗力が0.1あがる
FIREBALL,🔥,MagicName,FIREBALL,100,0.01,1,magic,魔法『FIREBALL』を習得する
ICE,❄️,MagicName,ICE,100,0.01,1,magic,魔法『ICE』を習得する
LIGHTNING,⚡,MagicName,LIGHTNING,100,0.01,1,magic,魔法『LIGHTNING』を習得する
TORNADO,🌪️,MagicName,TORNADO,100,0.01,1,magic,魔法『TORNADO』を習得する
METEOR,☄️,MagicName,METEOR,100,0.01,1,magic,魔法『METEOR』を習得する
EXPLOSION,💥,MagicName,EXPLOSION,100,0.01,1,magic,魔法『EXPLOSION』を習得する
GUST,💨,MagicName,GUST,100,0.01,1,magic,魔法『GUST』を習得する
BUBBLE,🫧,MagicName,BUBBLE,100,0.01,1,magic,魔法『BUBBLE』を習得する
RAINBOW,🌈,MagicName,RAINBOW,100,0.01,1,magic,魔法『RAINBOW』を習得する
WEB,🕸️,MagicName,WEB,100,0.01,1,magic,魔法『WEB』を習得する
POISONSTING,🦂,MagicName,POISONSTING,100,0.01,1,magic,魔法『POISONSTING』を習得する
SWORDSLASH,🗡️,MagicName,SWORDSLASH,100,0.01,1,magic,魔法『SWORDSLASH』を習得する
GREATAxe,🪓,MagicName,GREATAxe,100,0.01,1,magic,魔法『GREATAxe』を習得する
HAMMERCRUSH,🔨,MagicName,HAMMERCRUSH,100,0.01,1,magic,魔法『HAMMERCRUSH』を習得する
TRIDENTTHRUST,🔱,MagicName,TRIDENTTHRUST,100,0.01,1,magic,魔法『TRIDENTTHRUST』を習得する
SHIELDBASH,🛡️,MagicName,SHIELDBASH,100,0.01,1,magic,魔法『SHIELDBASH』を習得する
shoplevel1,🏪,shoplevel,2,100,0,1,shop,ショップのLvが2になる
shoplevel2,🏪,shoplevel,3,100,0,1,shop,ショップのLvが3になる
shoplevel3,🏪,shoplevel,4,100,0,1,shop,ショップのLvが4になる
DISCOUNT,💲,shopcost,5,0,0.01,1,shop,ショップ価格が5減少する
DropCOIN,💰,coin,30,0,1,1,coin,コインを30枚獲得する
INN,🛏,hp,-9999,30,0,1,inn,宿屋
TEMP,🏕️,hp,-9999,0,0,1,tent,テントで寝る
difficulty,⚔️,difficulty,-30,0,0,1,status,⚔️を30さげる
DebugDropCOIN,💰,coin,30,0,1,1,status,debugコインを30枚獲得する
