⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,🟫,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️,⛰️
⛰️,,,,,,,,🟫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,⛰️
⛰️,,🧱,🧱,🧱,🧱,🧱,🧱,🟫,🧱,🧱,🧱,🧱,🧱,🧱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🪨,🪨,🪨,🪨,🪨,🪨,🪨,🪨,🪨,🪨,🪨,🪨,🪨,⛰️
⛰️,,🧱,🏡,,,🏘️,,🟫,🏘️,,,🏚️,,🧱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🪨,,,,,,,,,,,,🪨,⛰️
⛰️,,🧱,,,🏚️,,,🟫,,,🏘️,,,🧱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🪨,,,,,,,,,,,,🪨,⛰️
⛰️,,🧱,,🏘️,,,🏚️,🟫,,🏘️,,,🏡,🧱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🪨,,,,,,,,,,,,🪨,⛰️
⛰️,,🧱,🏡,,,🏚️,,🟫,🏡,,,🏠,,🧱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🪨,,,,,,💀,,,,,,🪨,⛰️
⛰️,,🧱,,,🏘️,,,🟫,,,🏡,,,🧱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🪨,,,,,,,,,,,,🪨,⛰️
⛰️,,🧱,,🏠,,,🏚️,🟫,,🏘️,,,🏘️,🧱,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🟫,🪨,,,,,,,,,,,,🪨,⛰️
⛰️,,🧱,🏡,,,🏡,,🟫,🏚️,,,🏘️,,🧱,,,,,,,,,,,,,,,,🟫,🟫,,,,,,,,,,,,,,,,,,,🪨,,,,,,,,,,,,🪨,⛰️
⛰️,,🧱,🧱,🧱,🧱,🧱,🧱,🟫,🧱,🧱,🧱,🧱,🧱,🧱,,,,,,,,,,,,,,,,🟫,🟫,,,,,,,,,,,,,,,,,,,🪨,🪨,🪨,🪨,🪨,🪨,🪨,🪨,🪨,🪨,🪨,🪨,🪨,⛰️
⛰️,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟫,🟫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,⛰️
