🏔️,⛰️,🗻,🗻,🏔️,🗻,⛰️,🏔️,🗻,🏔️,🗻,🗻,🗻,👣,🏔️,🏔️,🗻,🗻,🏔️,🏔️,🏔️,🗻,🏔️,⛰️,🏔️,🏔️,🗻,⛰️,⛰️,⛰️,🏔️,🗻,🏔️,⛰️,🏔️,🏔️,🏔️,🗻,🏔️,⛰️,🗻,⛰️,🏔️,🗻,🗻,🗻,⛰️,🏔️,⛰️,⛰️,🗻,🏔️,🏔️,🗻,🗻,⛰️,🏔️,🏔️,🗻,⛰️,⛰️,⛰️,🏔️,🗻
🗻,🏔️,⛰️,⛰️,⛰️,⛰️,🏔️,🗻,🏔️,⛰️,⛰️,🏔️,⛰️,🟫,⛰️,⛰️,⛰️,🏔️,⛰️,🗻,🗻,⛰️,⛰️,🗻,⛰️,⛰️,⛰️,🏔️,🗻,🏔️,🗻,⛰️,🗻,🏔️,⛰️,🗻,🗻,⛰️,🗻,🗻,🏔️,🏔️,⛰️,🏔️,🏔️,🏔️,🏔️,🗻,🏔️,🗻,🏔️,⛰️,⛰️,🏔️,🏔️,🗻,🗻,⛰️,🏔️,🗻,🗻,🏔️,⛰️,⛰️
🏔️,⛰️,🏔️,🗻,🗻,🏔️,⛰️,🏔️,🗻,🏔️,🗻,⛰️,🗻,👣,🗻,🗻,🗻,🗻,🏔️,🏔️,🏔️,🏔️,🗻,⛰️,🗻,🏔️,🗻,⛰️,⛰️,🗻,⛰️,🗻,🏔️,🗻,🏔️,🏔️,🏔️,🗻,🏔️,⛰️,🗻,🗻,🏔️,⛰️,⛰️,🗻,⛰️,⛰️,⛰️,🏔️,⛰️,🗻,🏔️,🗻,⛰️,⛰️,⛰️,🏔️,🗻,🏔️,⛰️,⛰️,🗻,🗻
⛰️,🗻,⛰️,,,🗻,,🗻,🏔️,🗻,🏔️,,,🟫,,⛰️,🏔️,🏔️,,,🗻,🗻,,🏔️,⛰️,,🏔️,,🏔️,🏔️,,,,🏔️,🗻,🗻,🗻,🏔️,🗻,🏔️,,⛰️,⛰️,,,🏔️,🗻,🏔️,,⛰️,🗻,⛰️,⛰️,🏔️,🏔️,🏔️,🗻,🗻,⛰️,⛰️,🏔️,🗻,⛰️,🏔️
🗻,🏔️,🗻,,,,,,🗻,,,,,👣,,🗻,🗻,⛰️,,,,,,🗻,,,,,🗻,🗻,,,,,⛰️,,,,🏔️,⛰️,,,,,,🗻,⛰️,🗻,,,⛰️,🏔️,🗻,,⛰️,,🌿,🏔️,,🏔️,🗻,🏔️,🗻,🗻
⛰️,⛰️,🏔️,🗻,,,,,,,,,,🟫,,,,,,,,,,,,,,,,,,,,🌲,,,,,,,,🌿,,,,,,,,,,,,,,,,🌴,🌲,,🌲,⛰️,🏔️,⛰️
🗻,🗻,⛰️,🏔️,⛰️,,🧱,🧱,🧱,🧱,🧱,🧱,🧱,👣,🧱,🧱,🧱,🧱,🧱,🧱,🧱,,,,🌲,,,,,,,,🌳,,,,,,,,,🌳,,🪨,🪨,🪨,🪨,🪨,🪨,🪨,🪨,🪨,🪨,🪨,🪨,🪨,🪨,🪨,,,🏔️,🗻,⛰️,🏔️
⛰️,🏔️,🗻,,,,🧱,,🏘️,🏡,,,,🟫,,,🏠,,,🏠,🧱,,,,,,,,,,,,,,,,,,,,,,,🪨,,,,,,,,,,,,,,🪨,,🗻,⛰️,⛰️,🗻,🗻
🗻,⛰️,🏔️,🗻,⛰️,,🧱,,,,,🏡,,👣,🏡,🏠,,🏡,,,🧱,,,,,,,,,,,,,,,🌾,,,,,,,,🪨,,,,,,,,,,,,,,🪨,,,🗻,🗻,🏔️,⛰️
🏔️,🗻,🗻,,,🍀,🧱,,🏘️,🏘️,,🏡,🏡,🟫,,,🏘️,🏡,,🏚️,🧱,,,,,,,,,,,,,,,,,,,,,,,🪨,,,,,,🌿,,,,,,,,🪨,,,,🏔️,⛰️,🏔️
