id,emoji,MaxSpeed,hp,mp,mpregene,deffence,attackMagic,attack,attackPierceCount,HomingRadius,HomingPower,AddLifeTime,FireCnt1,UseMP,AddMaxSpeed,coinDropCount,RegistFIREBALL,RegistICE,RegistLIGHTNING,RegistLIGHTNING,RegistMETEOR,RegistEXPLOSION,RegistGUST,RegistBUBBLE,RegistRAINBOW,RegistWEB,RegistPOISONSTING,RegistSWORDSLASH,RegistGREATAxe,RegistHAMMERCRUSH,RegistTRIDENTTHRUST,RegistSHIELDBASH
INVADER,👾,0.1,100,30,0.05,0,FIREBALL,3,1,0,0,0,1,0,0,3,1,1,0.8,1,1.1,1.1,1,1.5,1.2,1,1,1,1.2,1.2,0.9,1
ONI,👹,0.12,150,30,0.05,0,GREATAxe,5,1,0,0,0,1,0,0,3,0.7,1.8,1,1,1.3,1.1,0.9,0.8,1.5,1,1,0.8,1.1,1.5,1,0.8
SPECTER,👻,0.32,80,30,0.05,0,GUST,2,1,0,0,0,1,0,0,3,0.9,1,1.7,1.2,0.9,0.8,1.3,1,2,0.6,0.5,0.5,0.6,0.7,0.4,0.5
DRAGON,🐉,0.18,200,30,0.05,0,METEOR,10,1,0,0,0,1,0,0,3,0.5,2,1.1,1.4,1.7,1.5,0.9,0.9,1.1,0.8,0.8,0.7,0.8,1.2,0.9,0.7
ZOMBIE,🧟,0.07,120,30,0.05,0,SWORDSLASH,6,1,0,0,0,1,0,0,3,2,0.9,1,0.9,1.2,1.3,1,0.9,1.4,1.1,0.3,1.2,1.3,1.5,0.9,1
TENGU,👺,0.28,130,30,0.05,0,TRIDENTTHRUST,7,1,0,0,0,1,0,0,3,1,1,1.5,1.1,1.2,1,0.7,0.9,1.3,1.2,0.9,1.3,1.1,0.9,0.8,1
BAT,🦇,0.4,60,30,0.05,0,POISONSTING,3,1,0,0,0,1,0,0,2,0.9,1.5,1.8,1.6,1,1.2,1.6,1,1.2,0.5,1,1.4,1.2,1.3,1.2,0.6
FOX,🦊,0.3,90,30,0.05,0,HAMMERCRUSH,6,1,0,0,0,1,0,0,3,1.6,0.8,1.2,1.1,1.3,1.2,1,1,1.1,1,1.3,1,1.2,1.3,1.1,1
WOLF,🐺,0.3,110,30,0.05,0,HAMMERCRUSH,6,1,0,0,0,1,0,0,3,1.6,0.8,1.2,1.1,1.3,1.2,1,1,1.1,1,1.3,1,1.2,1.3,1.1,1
MECHA,🤖,0.08,180,30,0.05,0,EXPLOSION,9,1,0,0,0,1,0,0,4,1.1,1.3,2,1,1.8,2,0.9,1.4,1,0.9,0.1,0.7,1.4,1.6,0.6,0.5
