id,emoji,detectionRadius,attackRange,attacknearRange,attackCooldown,coinDropCount,BARRIER_HP_THRESHOLD,BARRIER_PROBABILITY,BARRIER_DURATION_MS,MODE_ORBIT_PROB,MODE_TIMER_MIN_MS,MODE_TIMER_MAX_MS,APPROACH_ANGLE_JITTER,APPROACH_ACCEL,RETREAT_ACCEL,ORBIT_RADIUS,ORBIT_DIFF_THRESHOLD,ORBIT_CORRECT_ACCEL,EXIT_DISTANCE_LIMIT
INVADER,👾,500,250,212.5,2000,3,0.1,0.02,3000,0.4,500,800,0.2,0.8,-0.6,25,3,0.4,2100
ONI,👹,360,90,70,2000,3,0.1,0.02,3000,0.4,500,800,0.2,0.8,-0.6,180,3,0.4,2100
SPECTER,👻,400,200,170,2000,3,0.1,0.02,3000,0.6,200,400,0.25,1,-0.8,200,2,0.5,2100
DRAGON,🐉,540,270,229.5,2000,3,0.1,0.02,3000,0.2,800,1200,0.1,0.6,-0.4,270,4,0.3,2100
ZOMBIE,🧟,360,90,70,2000,3,0,0,0,0.2,800,1200,0.1,0.6,-0.4,180,4,0.3,2100
TENGU,👺,360,180,150,2000,3,0,0,0,0.4,500,800,0.2,0.8,-0.6,180,3,0.4,2100
BAT,🦇,700,350,297.5,2000,2,0,0,0,0.6,200,400,0.25,1,-0.8,350,2,0.5,2100
FOX,🦊,360,90,70,2000,3,0,0,0,0.6,200,400,0.25,1,-0.8,180,2,0.5,2100
WOLF,🐺,360,90,70,2000,3,0,0,0,0.6,200,400,0.25,1,-0.8,180,2,0.5,2100
MECHA,🤖,360,90,70,2000,4,0.1,0.02,3000,0.2,800,1200,0.1,0.6,-0.4,180,4,0.3,2100
JACK,🎃,500,250,212.5,2000,2,0,0,0,0.4,500,800,0.2,0.8,-0.6,250,3,0.4,2100
phoenix,🐦‍🔥,500,250,212.5,2000,3,0.1,0.02,3000,0.6,200,400,0.25,1,-0.8,250,2,0.5,2100
Crocodile,🐊,360,180,150,2000,4,0,0,0,0.4,500,800,0.2,0.8,-0.6,180,3,0.4,2100
Mammoth,🦣,360,90,70,2000,3,0,0,0,0.2,800,1200,0.1,0.6,-0.4,180,4,0.3,2100
Bear,🐻,360,90,70,2000,3,0,0,0,0.2,800,1200,0.1,0.6,-0.4,180,4,0.3,2100
PolarBear,🐻‍❄️,360,90,70,2000,3,0,0,0,0.2,800,1200,0.1,0.6,-0.4,180,4,0.3,2100
Tiger,🐅,360,90,70,2000,3,0,0,0,0.6,200,400,0.25,1,-0.8,180,2,0.5,2100
Moose,🫎,360,90,70,2000,3,0,0,0,0.4,500,800,0.2,0.8,-0.6,180,3,0.4,2100
Buffalo,🐃,360,90,70,2000,3,0,0,0,0.2,800,1200,0.1,0.6,-0.4,180,4,0.3,2100
Cow,🐄,360,90,70,2000,3,0,0,0,0.2,800,1200,0.1,0.6,-0.4,180,4,0.3,2100
Otter,🦦,360,90,70,2000,3,0,0,0,0.6,200,400,0.25,1,-0.8,180,2,0.5,2100
BlackBird,🐦‍⬛,360,90,70,2000,3,0,0,0,0.6,200,400,0.25,1,-0.8,180,2,0.5,2100
Turtle,🐢,360,90,70,2000,3,0,0,0,0.2,800,1200,0.1,0.6,-0.4,180,4,0.3,2100
Snake,🐍,360,90,70,2000,3,0,0,0,0.4,500,800,0.2,0.8,-0.6,180,3,0.4,2100
Sauropod,🦕,360,90,70,2000,3,0,0,0,0.2,800,1200,0.1,0.6,-0.4,180,4,0.3,2100
T-Rex,🦖,360,90,70,2000,3,0,0,0,0.2,800,1200,0.1,0.6,-0.4,180,4,0.3,2100
Rat,🐀,360,90,70,2000,3,0,0,0,0.6,200,400,0.25,1,-0.8,180,2,0.5,2100
Boar,🐗,360,90,70,2000,3,0,0,0,0.6,200,400,0.25,1,-0.8,180,2,0.5,2100
SLIME,🟢,540,270,229.5,2000,3,0,0,0,0.4,500,800,0.2,0.8,-0.6,270,3,0.4,2100
